TCGA-A7-A0CH_N
TCGA-A7-A0CH_T
TCGA-A7-A0D9_N
TCGA-A7-A0D9_T
TCGA-A7-A0DB_T
TCGA-A7-A0DB_N
TCGA-A7-A0DC_N
TCGA-A7-A0DC_T
TCGA-A7-A13G_N
TCGA-A7-A13G_T
TCGA-AC-A2FB_N
TCGA-AC-A2FB_T
TCGA-AC-A2FF_N
TCGA-AC-A2FF_T
TCGA-AC-A2FM_N
TCGA-AC-A2FM_T
TCGA-BH-A0AY_T
TCGA-BH-A0AY_N
TCGA-BH-A0AZ_T
TCGA-BH-A0AZ_N
TCGA-BH-A0B5_T
TCGA-BH-A0B5_N
TCGA-BH-A0B8_N
TCGA-BH-A0B8_T
TCGA-BH-A0BA_T
TCGA-BH-A0BA_N
TCGA-BH-A0BC_N
TCGA-BH-A0BC_T
TCGA-BH-A0BJ_N
TCGA-BH-A0BJ_T
TCGA-BH-A0BM_N
TCGA-BH-A0BM_T
TCGA-BH-A0BQ_T
TCGA-BH-A0BQ_N
TCGA-BH-A0BS_N
TCGA-BH-A0BS_T
TCGA-BH-A0BT_T
TCGA-BH-A0BT_N
TCGA-BH-A0BV_T
TCGA-BH-A0BV_N
