"";"genes"
"297";"CCDC43"
"298";"TOM1L1"
"299";"TOM1L1"
"300";"TOM1L1"
"301";"SCPEP1"
"302";"CA4"
"303";"C17orf80"
"304";"C17orf80"
"305";"C17orf80"
"306";"CYTH1"
"307";"NPLOC4"
"308";"NPLOC4"
"309";"DYSFIP1"
"310";"DYSFIP1"
"311";"ARHGDIA"
"312";"ARHGDIA"
"313";"ARHGDIA"
"314";"ARHGDIA"
"315";"FN3K"
"316";"ARHGDIA"
"317";"DSG1"
"318";"LIPG"
"319";"LIPG"
"320";"ACAA2"
"321";"ACAA2"
"322";"MBD2"
"323";"MBD2"
"324";"CYB5A"
"325";"CYB5A"
"326";"KLF16"
"327";"SPC24"
"328";"ELOF1"
"329";"ELOF1"
"330";"B3GNT3"
"331";"B3GNT3"
"332";"PPP1R14A"
"333";"RINL"
"334";"RINL"
"335";"LTBP4"
"336";"LTBP4"
"337";"LTBP4"
"338";"LTBP4"
"339";"LTBP4"
"340";"LTBP4"
"341";"LTBP4"
"342";"PNMAL1"
"343";"PNMAL1"
"344";"ZNF528"
"345";"ZNF528"
"346";"ZNF415"
"347";"ZNF415"
"348";"ZNF415"
"349";"ZNF415"
"350";"ZNF415"
"351";"ZNF415"
"352";"ZNF415"
"353";"ZNF415"
"354";"PRPF31"
"355";"NLRP4"
"356";"NLRP4"
"357";"TRIM28"
"358";"TRIM28"
"359";"DDX1"
"360";"OSR1"
"361";"MATN3"
"362";"PREPL"
"363";"PREPL"
"364";"PREPL"
"365";"PREPL"
"366";"PREPL"
"367";"PREPL"
"368";"MDH1"
"369";"ACTR2"
"370";"ACTR2"
"371";"GFPT1"
"372";"GFPT1"
"373";"TACR1"
"374";"TACR1"
"375";"KCHIP3"
"376";"KCHIP3"
"377";"TMEM127"
"378";"TMEM127"
"379";"SNRNP200"
"380";"SNRNP200"
"381";"RGPD1"
"382";"MARCO"
"383";"RBMS1"
"384";"RBMS1"
"385";"RBMS1"
"386";"RBMS1"
"387";"RBMS1"
"388";"RBMS1"
"389";"RBMS1"
"390";"RBMS1"
"391";"FLJ13984"
"392";"FLJ13984"
"393";"NCKAP1"
"394";"NCKAP1"
"395";"IDH1"
"396";"IDH1"
"397";"IDH1"
"398";"AAMP"
"399";"AAMP"
"400";"AAMP"
"401";"WDR69"
"402";"WDR69"
"403";"IQCA1"
"404";"IQCA1"
"405";"IQCA1"
"406";"C20orf114"
"407";"SNTA1"
"408";"MAP1LC3A"
"409";"MAP1LC3A"
"410";"GGT7"
"411";"GGT7"
"412";"GGT7"
"413";"KCNB1"
"414";"KCNB1"
"415";"C21orf9"
"416";"HPS4"
"417";"HPS4"
"418";"HPS4"
"419";"HPS4"
"420";"HPS4"
"421";"HPS4"
"422";"HPS4"
"423";"NOL12"
"424";"NOL12"
"425";"PPPDE2"
"426";"NAGA"
"427";"NAGA"
"428";"NAGA"
"429";"NUP50"
"430";"NUP50"
"431";"NUP50"
"432";"MAPK11"
"433";"NUP210"
"434";"NUP210"
"435";"NUP210"
"436";"OXNAD1"
"437";"OXNAD1"
"438";"XIRP1"
"439";"XIRP1"
"440";"XIRP1"
"441";"CTNNB1"
"442";"CTNNB1"
"443";"CTNNB1"
"444";"CTNNB1"
"445";"CLEC3B"
"446";"CLEC3B"
"447";"KLHL18"
"448";"KLHL18"
"449";"KLHL18"
"450";"PPM1M"
"451";"PPM1M"
"452";"PPM1M"
"453";"MAGI1"
"454";"MAGI1"
"455";"MAGI1"
"456";"MAGI1"
"457";"MAGI1"
"458";"TMF1"
"459";"DHFRL1"
"460";"DHFRL1"
"461";"BTLA"
"462";"BTLA"
"463";"KIAA1407"
"464";"UPK1B"
"465";"UPK1B"
"466";"CD80"
"467";"CD80"
"468";"PLA1A"
"469";"PLA1A"
"470";"GSK3B"
"471";"GSK3B"
"472";"GSK3B"
"473";"NMNAT3"
"474";"NMNAT3"
"475";"ZBTB38"
"476";"ZBTB38"
"477";"MLF1"
"478";"MLF1"
"479";"MLF1"
"480";"MLF1"
"481";"MLF1"
"482";"MLF1"
"483";"DNAJC19"
"484";"DNAJC19"
"485";"C4orf44"
"486";"C4orf44"
"487";"MAN2B2"
"488";"MAN2B2"
"489";"AFAP1"
"490";"ANAPC4"
"491";"ANAPC4"
"492";"EXOC1"
"493";"EXOC1"
"494";"EXOC1"
"495";"MFSD8"
"496";"HPGD"
"497";"HPGD"
"498";"HPGD"
"499";"HPGD"
"500";"HPGD"
"501";"UGT3A2"
"502";"C7"
"503";"CDK7"
"504";"CDK7"
"505";"CDK7"
"506";"S100Z"
"507";"S100Z"
"508";"TSLP"
"509";"TSLP"
"510";"KIF20A"
"511";"EGR1"
"512";"NRG2"
"513";"NRG2"
"514";"NRG2"
"515";"NRG2"
"516";"WDR55"
"517";"PCDHA3"
"518";"PCDHA4"
"519";"PCDHA4"
"520";"FAT2"
"521";"ARL10"
"522";"ARL10"
"523";"ADAMTS2"
"524";"DKFZp686I15217"
"525";"TUBB2B"
"526";"SIRT5"
"527";"SIRT5"
"528";"SIRT5"
"529";"KIFC1"
"530";"TCP11"
"531";"TCP11"
"532";"TCP11"
"533";"TCP11"
"534";"TCP11"
"535";"BMP5"
"536";"LCA5"
"537";"LCA5"
"538";"FABP7"
"539";"FABP7"
"540";"HINT3"
"541";"PLAGL1"
"542";"PLAGL1"
"543";"PLAGL1"
"544";"PLAGL1"
"545";"PLAGL1"
"546";"PLAGL1"
"547";"PLAGL1"
"548";"PLAGL1"
"549";"PLAGL1"
"550";"PLAGL1"
"551";"PLAGL1"
"552";"PLAGL1"
"553";"PLAGL1"
"554";"PLAGL1"
"555";"PLAGL1"
"556";"PLAGL1"
"557";"PLAGL1"
"558";"PLAGL1"
"559";"PLAGL1"
"560";"PLAGL1"
"561";"PLAGL1"
"562";"MEOX2"
"563";"MPP6"
"564";"MPP6"
"565";"TNS3"
"566";"TNS3"
"567";"VOPP1"
"568";"VOPP1"
"569";"NSUN5C"
"570";"NSUN5C"
"571";"NSUN5C"
"572";"NSUN5C"
"573";"HIP1"
"574";"COL1A2"
"575";"PTCD1"
"576";"SERPINE1"
"577";"RELN"
"578";"ORC5L"
"579";"ORC5L"
"580";"ORC5L"
"581";"BCAP29"
"582";"WNT2"
"583";"WNT2"
"584";"TSGA13"
"585";"TSGA13"
"586";"hTPK1"
"587";"hTPK1"
"588";"TPK1"
"589";"TPK1"
"590";"hTPK1"
"591";"CNTNAP2"
